name,power,accuracy,type,damage_class,description,pokemon_names
heal-pulse,,,psychic,status,Heals the target for half its max HP.,"alomomola,aromatisse,audino,bayleef,blissey,chansey,cherubi,chikorita,chimecho,clawitzer,clefable,clefairy,gallade,gardevoir,gothita,igglybuff,kirlia,latias,latios,lucario,luvdisc,ralts,slowbro,slowking,slowpoke,xerneas"
bestow,,,normal,status,"Transfers the user's held item to the target.  If the user has no held item, or the target already has a held item, this move will fail.","audino,blissey,chansey,clefairy,delibird,exeggcute,froakie,linoone,pachirisu,phantump,pichu,pidove,plusle,togepi,togetic,tropius,zigzagoon"
misty-terrain,,,fairy,status,"For five turns, protects all Pokémon on the ground from major status ailments and confusion and weakens dragon moves used against them to 0.5× their power.

Changes nature power to moonblast.","alomomola,aromatisse,audino,azumarill,carbink,clefable,clefairy,cottonee,dedenne,floette,florges,gallade,gardevoir,igglybuff,jigglypuff,kirlia,klefki,marill,mawile,mew,ralts,spritzee,sylveon,volcanion,whimsicott,wigglytuff,xerneas"
fairy-wind,40,100,fairy,special,Inflicts regular damage.,"aromatisse,blissey,chansey,clefable,clefairy,cottonee,floette,happiny,hoppip,jumpluff,klefki,mawile,skiploom,slurpuff,spritzee,swirlix,sylveon,togekiss,togepi,togetic,whimsicott"
moonblast,95,100,fairy,special,Inflicts regular damage.  Has a 30% chance to lower the target's Special Attack by one stage.,"altaria,aromatisse,carbink,clefable,clefairy,diancie,floette,florges,gardevoir,gloom,hoothoot,lunatone,muk,munna,musharna,noctowl,oddish,spritzee,swablu,sylveon,togekiss,togepi,togetic,vileplume,whimsicott,xerneas"
dazzling-gleam,80,100,fairy,special,Inflicts regular damage.,"abra,altaria,ampharos,aromatisse,audino,azelf,baltoy,banette,blissey,budew,carbink,celebi,chansey,cherrim,cherubi,chimecho,chinchou,chingling,cinccino,claydol,clefable,clefairy,cottonee,dedenne,delphox,diancie,drowzee,espeon,finneon,flaaffy,floette,florges,frillish,gallade,gardevoir,gastly,gengar,girafarig,gloom,granbull,grumpig,haunter,hoppip,hypno,igglybuff,illumise,jellicent,jigglypuff,jirachi,jumpluff,kadabra,kirlia,klefki,lanturn,lumineon,mareep,mesprit,mew,minccino,misdreavus,mismagius,munna,musharna,nosepass,oddish,probopass,ralts,roselia,roserade,shuppet,sigilyph,skiploom,slurpuff,snubbull,spoink,spritzee,starmie,staryu,sunflora,swablu,swirlix,sylveon,tentacool,tentacruel,togekiss,togepi,togetic,uxie,victini,vileplume,volbeat,whimsicott,wigglytuff,xatu,xerneas"
baby-doll-eyes,,100,fairy,status,Lowers the target's Attack by one stage.,"audino,blissey,buneary,chansey,cinccino,clefable,clefairy,delcatty,eevee,espeon,flareon,furfrou,furret,glaceon,happiny,jolteon,leafeon,lillipup,linoone,lopunny,luvdisc,minccino,ninetales,pachirisu,sentret,shinx,stoutland,sylveon,teddiursa,togekiss,togepi,togetic,umbreon,ursaring,vaporeon,vulpix,zigzagoon"
spotlight,,,normal,status,"For the duration of the turn, if the target is also a valid target for a move used by one of its opponents, that move will target it instead.","clefable,clefairy,lanturn,spinda,starmie"
meteor-beam,120,90,rock,special,Inflicts regular damage.,"aerodactyl,aggron,amaura,ampharos,anorith,archen,archeops,armaldo,aurorus,barbaracle,bastiodon,beheeyem,boldore,bronzong,carbink,carracosta,clefable,clefairy,corsola,cradily,crustle,diancie,elgyem,gigalith,jirachi,kabuto,kabutops,lileep,lunatone,metagross,metang,mew,nosepass,omanyte,omastar,probopass,rayquaza,regirock,registeel,rhydon,rhyperior,shuckle,solrock,starmie,steelix,sudowoodo,tirtouga,tyrantrum,tyrunt"
misty-explosion,100,100,fairy,special,Inflicts regular damage.,"aromatisse,azumarill,carbink,clefable,clefairy,diancie,florges,gardevoir,jigglypuff,marill,mew,musharna,slurpuff,spritzee,swirlix,sylveon,wigglytuff,xerneas"
hypnosis,,60,psychic,status,Puts the target to sleep.,"braixen,bronzong,bronzor,chimecho,chingling,crobat,darkrai,delphox,drifblim,drifloon,drowzee,exeggcute,exeggutor,feebas,fennekin,gallade,gardevoir,gastly,gengar,glameow,golbat,golduck,gothita,gothitelle,gothorita,haunter,hoothoot,hypno,inkay,kadabra,kirlia,lunatone,malamar,mew,milotic,misdreavus,mismagius,munna,musharna,ninetales,noctowl,patrat,persian,pidove,politoed,poliwag,poliwhirl,poliwrath,ponyta,purugly,ralts,rapidash,sigilyph,solrock,spinda,spiritomb,stantler,uxie,vulpix,watchog,yanma,yanmega,zubat"
confuse-ray,,100,ghost,status,Confuses the target.,"ampharos,banette,bronzong,bronzor,chandelure,chinchou,clamperl,corsola,cradily,crobat,cryogonal,darkrai,delphox,duosion,dusclops,dusknoir,duskull,eelektross,espeon,feebas,finneon,flaaffy,frillish,gallade,gardevoir,gastly,gengar,girafarig,golbat,golduck,golett,golurk,grimer,grumpig,haunter,honchkrow,hoothoot,hypno,illumise,jirachi,kabuto,kabutops,kirlia,lampent,lanturn,lapras,lileep,litwick,lumineon,luxio,luxray,magmar,magmortar,magnemite,magneton,magnezone,mantine,mantyke,mareep,mesprit,mew,mewtwo,milotic,misdreavus,mismagius,muk,murkrow,ninetales,noctowl,phantump,ralts,reuniclus,rotom,shedinja,shiftry,shinx,shuppet,skorupi,solosis,spiritomb,spoink,stantler,starmie,staryu,tentacool,tentacruel,trevenant,typhlosion,umbreon,uxie,venomoth,venonat,vespiquen,vivillon,volbeat,vulpix,watchog,xatu,zoroark,zorua,zubat"
memento,,100,dark,status,Lowers the target's Attack and Special Attack by two stages.  User faints.,"chandelure,cottonee,delibird,diglett,drifloon,dusclops,dusknoir,duskull,gastrodon,grimer,hoppip,jumpluff,koffing,lampent,latios,litwick,magcargo,misdreavus,muk,ninetales,ralts,shellos,skiploom,slugma,spiritomb,stunky,uxie,vulpix,weezing,whimsicott,yamask,zorua"
grudge,,,ghost,status,"If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect.","banette,cofagrigus,duskull,gastly,koffing,misdreavus,mismagius,ninetales,phantump,ralts,shedinja,shuppet,spiritomb,vulpix,yamask"
extrasensory,80,100,psychic,special,Inflicts regular damage.  Has a 10% chance to make the target flinch.,"azelf,baltoy,bronzong,bronzor,budew,chimecho,chingling,claydol,cyndaquil,darumaka,drifblim,drifloon,dustox,entei,exeggcute,exeggutor,greninja,ho-oh,hoothoot,lugia,mesprit,misdreavus,mismagius,ninetales,noctowl,nuzleaf,quilava,raikou,reshiram,roselia,shiftry,spiritomb,spoink,stantler,suicune,togekiss,togepi,togetic,typhlosion,uxie,vulpix,whismur,zorua"
howl,,,normal,status,Raises the user's Attack by one stage.,"arcanine,braixen,cyndaquil,delphox,electrike,exploud,fennekin,growlithe,houndoom,houndour,lillipup,loudred,manectric,mightyena,ninetales,poochyena,quilava,raikou,riolu,shinx,typhlosion,vulpix,whismur"
power-swap,,,psychic,status,User swaps its Attack and Special Attack stat modifiers modifiers with the target.,"abra,accelgor,altaria,baltoy,beheeyem,bronzong,bronzor,claydol,cofagrigus,duosion,elgyem,espeon,exeggcute,exeggutor,gardevoir,girafarig,kadabra,lunatone,magmar,magmortar,meditite,mew,mewtwo,munna,musharna,ninetales,nuzleaf,porygon,porygon-z,porygon2,reuniclus,seedot,shiftry,sigilyph,solosis,solrock,swablu,tangela,tangrowth,victini,vulpix,xatu"
foul-play,95,100,dark,physical,Inflicts regular damage.  Damage is calculated using the target's attacking stat rather than the user's.,"abra,absol,aipom,ambipom,amoonguss,ariados,banette,bastiodon,bisharp,bonsly,braixen,cacnea,cacturne,croagunk,darkrai,delibird,delphox,diggersby,diglett,drowzee,dugtrio,electrode,fennekin,foongus,gastly,gengar,girafarig,glalie,glameow,gothita,gothitelle,gothorita,haunter,honchkrow,houndoom,houndour,hypno,inkay,kadabra,kecleon,klefki,krokorok,krookodile,liepard,malamar,mandibuzz,masquerain,mawile,mew,mewtwo,mightyena,misdreavus,mismagius,murkrow,ninetales,nuzleaf,pancham,pangoro,pawniard,persian,phantump,poochyena,porygon,porygon-z,porygon2,purrloin,purugly,rotom,sandile,scrafty,scraggy,seedot,shiftry,shuppet,slowbro,slowking,slowpoke,sneasel,spinarak,spiritomb,stunfisk,stunky,sudowoodo,toxicroak,trevenant,tyranitar,umbreon,uxie,voltorb,vullaby,vulpix,weavile,xatu,yveltal,zoroark,zorua"
tail-slap,25,85,normal,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.","aipom,buizel,cinccino,linoone,mew,minccino,ninetales,stunky,vulpix,zigzagoon"
burning-jealousy,70,100,fire,special,Inflicts regular damage.,"banette,braixen,chandelure,chimchar,cyndaquil,delphox,fennekin,flareon,houndoom,houndour,infernape,lampent,liepard,litwick,magcargo,magmar,magmortar,mew,misdreavus,mismagius,moltres,monferno,ninetales,pyroar,quilava,spiritomb,torkoal,trevenant,typhlosion,vulpix,zoroark,zorua"
self-destruct,200,100,normal,physical,"User faints, even if the attack fails or misses.  Inflicts regular damage.","azelf,baltoy,bonsly,camerupt,claydol,cloyster,corsola,cryogonal,drifblim,drifloon,electrode,exeggcute,exeggutor,ferroseed,forretress,garbodor,gastly,genesect,gengar,geodude,gigalith,glalie,golem,golett,golurk,graveler,grimer,gulpin,haunter,jigglypuff,koffing,lickilicky,lunatone,magcargo,magnezone,metagross,metang,mew,mewtwo,muk,munchlax,nosepass,nuzleaf,pineco,qwilfish,regice,regirock,registeel,seedot,shellder,shiftry,slugma,snorlax,solrock,steelix,sudowoodo,swalot,torkoal,trubbish,vanillish,vanillite,vanilluxe,volcanion,voltorb,wailmer,wailord,weezing,wigglytuff"
psychic-noise,75,100,psychic,special,,"bronzong,chimecho,chingling,delphox,drowzee,espeon,espurr,exeggcute,exeggutor,florges,flygon,gardevoir,gengar,girafarig,golduck,gothita,gothitelle,gothorita,grumpig,honchkrow,hypno,jigglypuff,jirachi,lapras,latios,lugia,malamar,mesprit,metagross,metang,mew,mewtwo,misdreavus,mismagius,murkrow,noctowl,noivern,reuniclus,slowbro,slowking,trevenant,uxie,venomoth,venonat,vespiquen,wigglytuff,yanma,yanmega"
magic-room,,,psychic,status,"For five turns (including this one), passive effects of held items are ignored, and Pokémon will not use their held items.","abra,azelf,banette,braixen,celebi,delphox,drowzee,espeon,espurr,fennekin,gallade,gardevoir,gothita,gothitelle,gothorita,hypno,jirachi,jynx,kadabra,kirlia,klefki,latias,lunatone,mesprit,mew,mewtwo,misdreavus,mismagius,ralts,shuppet,sigilyph,smoochum,stantler,uxie,wigglytuff,xatu"
expanding-force,80,100,psychic,special,Inflicts regular damage.,"azelf,baltoy,beheeyem,bronzong,bronzor,celebi,chimecho,claydol,delphox,drowzee,duosion,elgyem,espeon,espurr,exeggutor,gallade,gardevoir,girafarig,gothita,gothitelle,gothorita,grumpig,hypno,inkay,jirachi,jynx,kadabra,kirlia,malamar,medicham,meditite,mesprit,metagross,metang,mew,mewtwo,munna,musharna,ralts,reuniclus,sigilyph,slowbro,slowking,slowpoke,solosis,spoink,starmie,swoobat,uxie,victini,wigglytuff,woobat,xatu"
absorb,20,100,grass,special,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,"accelgor,amoonguss,ariados,beautifly,breloom,budew,cacnea,cacturne,carnivine,cherrim,cherubi,cottonee,crobat,dusclops,dusknoir,duskull,exeggcute,exeggutor,foongus,frillish,galvantula,gloom,golbat,goodra,goomy,grotle,grovyle,hoppip,jellicent,joltik,jumpluff,kabuto,kabutops,kricketot,kricketune,lilligant,lombre,lotad,ludicolo,maractus,nincada,ninjask,noibat,noivern,nuzleaf,oddish,paras,parasect,petilil,roselia,roserade,sceptile,seedot,shedinja,shelmet,shiftry,shroomish,skiploom,sliggoo,spinarak,sunflora,tangela,tangrowth,torterra,treecko,turtwig,vileplume,volcarona,whimsicott,zubat"
mean-look,,,normal,status,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.","absol,cofagrigus,crobat,dusclops,dusknoir,duskull,gastly,gengar,girafarig,golbat,gothita,grimer,haunter,hawlucha,honchkrow,hoothoot,jynx,mandibuzz,misdreavus,mismagius,murkrow,patrat,pawniard,ralts,sandile,serperior,smoochum,snivy,umbreon,vullaby,watchog,yamask,zubat"
astonish,30,100,ghost,physical,Inflicts regular damage.  Has a 30% chance to make the target flinch.,"aipom,altaria,ambipom,amoonguss,chandelure,chimecho,chingling,cofagrigus,cradily,croagunk,crobat,deino,diglett,drifblim,drifloon,dugtrio,dunsparce,duosion,dusclops,dusknoir,duskull,elgyem,emolga,exploud,flygon,foongus,gastly,gengar,girafarig,glalie,golbat,golett,golurk,haunter,honchkrow,kecleon,klefki,lampent,lileep,litwick,lombre,lotad,loudred,ludicolo,mawile,mightyena,misdreavus,mismagius,murkrow,nuzleaf,panpour,pansage,pansear,phantump,poochyena,qwilfish,reuniclus,rotom,seedot,shiftry,shuppet,snorunt,solosis,stantler,starly,stunfisk,stunky,swablu,toxicroak,trapinch,trevenant,vanillish,vanillite,vanilluxe,vibrava,wailmer,wailord,whismur,yamask,zubat"
cross-poison,70,100,poison,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target.,"anorith,ariados,armaldo,crobat,drapion,galvantula,garbodor,gligar,gliscor,golbat,joltik,kabutops,machamp,mew,paras,parasect,sceptile,scizor,scolipede,scyther,skorupi,spinarak,tentacool,tentacruel,toxicroak,vespiquen,zubat"
quick-guard,,,fighting,status,"Moves with priority greater than 0 will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome.","aipom,ambipom,archen,archeops,chesnaught,chespin,chimchar,cobalion,croagunk,crobat,escavalier,fletchling,gallade,golbat,grovyle,hawlucha,hitmonchan,hitmontop,lucario,machop,meditite,mienfoo,mienshao,pancham,pawniard,quilladin,riolu,sawk,sceptile,scrafty,scraggy,scyther,swellow,taillow,terrakion,treecko,virizion,zangoose,zubat"
teeter-dance,,100,normal,status,Confuses all targets.,"buneary,cacnea,gloom,grumpig,lilligant,lombre,lotad,ludicolo,oddish,spinda,vileplume"
strength-sap,,100,grass,status,"Lowers the target's Attack by one stage.  Heals the user by the target's current Attack, including modifiers, but not including this move's Attack-lowering effect.

If the target's Attack is already at -6, this move will fail.  In any other situation that would prevent a stat modification, the healing will still succeed.","bellsprout,drifblim,frillish,gloom,hoppip,oddish,victreebel,vileplume,weepinbell"
aromatherapy,,,grass,status,Removes major status effects and confusion from every Pokémon in the user's party.,"aromatisse,bayleef,chansey,cherubi,chikorita,deerling,floette,florges,happiny,hoppip,illumise,lilligant,paras,parasect,petilil,roselia,roserade,sawsbuck,slurpuff,spritzee,swirlix,vespiquen,vileplume,vivillon,xerneas"
solar-blade,125,100,grass,physical,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.","bayleef,celebi,cherrim,chikorita,crustle,doublade,gallade,grovyle,honedge,leafeon,lilligant,mew,nuzleaf,ponyta,rapidash,sceptile,shiftry,tangrowth,tropius,vileplume,virizion"
corrosive-gas,,100,poison,status,Inflicts regular damage.,"garbodor,gastly,gengar,haunter,koffing,mew,stunky,tentacruel,toxicroak,trubbish,vileplume,weezing"
spore,,100,grass,status,Puts the target to sleep.,"amoonguss,breloom,foongus,paras,parasect,shroomish"
wide-guard,,,rock,status,"Moves with multiple targets will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome.","aerodactyl,alomomola,avalugg,bastiodon,carracosta,chesnaught,chespin,conkeldurr,dwebble,gallade,geodude,golem,graveler,grotle,gurdurr,hitmonlee,hitmontop,honedge,kingler,machamp,makuhita,mantine,mantyke,marshtomp,mienshao,mudkip,nosepass,paras,pelipper,probopass,quilladin,shieldon,swampert,throh,tirtouga,torterra,tropius,turtwig,wingull"
morning-sun,,,normal,status,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.","beautifly,cherrim,cherubi,espeon,growlithe,pidove,ponyta,solrock,togepi,venonat"
lunge,80,100,bug,physical,Inflicts regular damage.  Lowers the target's Attack by one stage.,"ariados,bellsprout,cacturne,combee,dodrio,doduo,dunsparce,eelektrik,eelektross,forretress,galvantula,gligar,gliscor,grumpig,hawlucha,heracross,hitmonlee,hoppip,inkay,joltik,jumpluff,kricketot,kricketune,leavanny,malamar,masquerain,mew,mothim,muk,pineco,scizor,scyther,sewaddle,skiploom,spinarak,spoink,stantler,surskit,swadloon,venomoth,venonat,vespiquen,victreebel,volbeat,volcarona,weepinbell,yanma,yanmega"
pounce,50,100,bug,physical,,"ariados,banette,bellsprout,breloom,clauncher,clawitzer,dodrio,dunsparce,forretress,galvantula,heracross,illumise,joltik,kricketune,leavanny,masquerain,mew,pineco,scatterbug,scizor,scyther,seviper,sewaddle,shroomish,shuppet,slaking,spewpa,spinarak,surskit,swadloon,tentacool,tentacruel,venomoth,venonat,vespiquen,victreebel,vivillon,volbeat,volcarona,weepinbell,yanma,yanmega"
embargo,,100,dark,status,"Target cannot use its held item for five turns.  If the target leaves the field, this effect ends.

If a Pokémon under this effect uses bug bite or pluck on a Pokémon holding a berry, the berry is destroyed but not used.  If a Pokémon under this effect uses fling, it will fail.

This effect is passed by baton pass.","abra,banette,barbaracle,beheeyem,binacle,bisharp,braixen,cacturne,chandelure,cofagrigus,croagunk,darkrai,delphox,drifblim,drifloon,duosion,dusclops,dusknoir,duskull,elgyem,fennekin,gastly,gengar,gothita,gothitelle,gothorita,haunter,honchkrow,houndoom,houndour,inkay,kadabra,krokorok,krookodile,lampent,liepard,litwick,lunatone,malamar,mandibuzz,mawile,mew,mewtwo,mightyena,misdreavus,mismagius,murkrow,nuzleaf,pangoro,pawniard,persian,poochyena,porygon-z,purrloin,reuniclus,sandile,shiftry,shuppet,sneasel,solosis,solrock,spiritomb,swoobat,toxicroak,victini,vullaby,weavile,woobat,yamask,yveltal,zangoose,zoroark,zorua"
power-gem,80,100,rock,special,Inflicts regular damage.,"ampharos,bastiodon,boldore,bonsly,bronzong,bronzor,carbink,corsola,diancie,espeon,flaaffy,gabite,garchomp,gigalith,golduck,grumpig,klang,klink,klinklang,lunatone,magcargo,mareep,mew,mewtwo,misdreavus,mismagius,nosepass,persian,probopass,regirock,shieldon,slowking,slugma,spoink,starmie,staryu,sudowoodo,tyranitar,vespiquen"
water-sport,,,water,status,"fire moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends.","alomomola,azumarill,azurill,barboach,bidoof,binacle,budew,buizel,clauncher,clawitzer,dewott,ducklett,floatzel,frillish,froakie,goldeen,golduck,gorebyss,jellicent,latias,lombre,luvdisc,mantine,mantyke,marill,masquerain,milotic,oshawott,panpour,pelipper,piplup,poliwag,poliwhirl,prinplup,samurott,seaking,seel,spheal,surskit,swanna,totodile,whiscash,wingull"
vacuum-wave,40,100,fighting,special,Inflicts regular damage.,"blaziken,breloom,chimchar,cobalion,combusken,croagunk,dewott,empoleon,flygon,gallade,gardevoir,golduck,grovyle,hariyama,heracross,hitmonchan,hitmonlee,hitmontop,infernape,lucario,machamp,machoke,machop,makuhita,mankey,medicham,meditite,mew,mienshao,monferno,poliwrath,primeape,riolu,samurott,sceptile,scizor,scyther,shiftry,toxicroak,tyrogue,virizion"
soak,,100,water,status,"Changes the target to pure water-type until it leaves the field.  If the target has multitype, this move will fail.","alomomola,azurill,buizel,chinchou,dewott,finneon,floatzel,goldeen,golduck,lanturn,lumineon,luvdisc,marill,masquerain,octillery,oshawott,pelipper,remoraid,samurott,seaking,surskit,wailmer,wailord,wingull"
low-sweep,65,100,fighting,physical,Lowers the target's Speed by one stage.,"aipom,ambipom,bisharp,blaziken,breloom,buizel,buneary,chesnaught,chespin,chimchar,combusken,conkeldurr,croagunk,drowzee,electabuzz,electivire,emboar,floatzel,gallade,golduck,golett,golurk,gothitelle,granbull,greninja,grovyle,grumpig,gurdurr,hariyama,hawlucha,haxorus,heliolisk,helioptile,hitmonchan,hitmonlee,hitmontop,hypno,infernape,krokorok,krookodile,lopunny,lucario,machamp,machoke,machop,magmar,magmortar,makuhita,mankey,medicham,meditite,mew,mewtwo,mienfoo,mienshao,monferno,nuzleaf,pancham,pangoro,panpour,pansage,pansear,pawniard,pignite,politoed,poliwhirl,poliwrath,primeape,quilladin,riolu,sawk,sceptile,scrafty,scraggy,shiftry,simipour,simisage,simisear,slaking,sneasel,sudowoodo,throh,toxicroak,tyrogue,vigoroth,weavile,zangoose,zoroark"
karate-chop,50,100,fighting,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,"elekid,hawlucha,machamp,machoke,machop,mankey,pancham,pangoro,primeape,sawk"
meditate,,,psychic,status,Raises the user's Attack by one stage.,"croagunk,drowzee,elekid,hitmonlee,hypno,machop,mankey,medicham,meditite,mienfoo,mienshao,smoochum"
cross-chop,100,80,fighting,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,"barbaracle,binacle,croagunk,electabuzz,electivire,elekid,hawlucha,machamp,machoke,machop,magmar,magmortar,makuhita,mankey,primeape,riolu,teddiursa"
smelling-salts,70,100,normal,physical,"Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis.","aron,cacnea,croagunk,hariyama,lickitung,machop,makuhita,mankey,mienfoo,snubbull,spinda,torchic,whismur"
bulk-up,,,fighting,status,Raises the user's Attack and Defense by one stage each.,"barbaracle,blaziken,braviary,breloom,buizel,bunnelby,chesnaught,chespin,chimchar,combusken,conkeldurr,croagunk,diggersby,eelektross,electabuzz,electivire,emboar,floatzel,gallade,gogoat,granbull,groudon,gurdurr,hariyama,hawlucha,heracross,hitmonchan,hitmonlee,hitmontop,infernape,krookodile,lucario,machamp,machoke,machop,makuhita,mankey,medicham,meditite,mew,mewtwo,mienfoo,mienshao,monferno,pancham,pangoro,pignite,pinsir,poliwrath,primeape,quilladin,rayquaza,riolu,rufflet,sawk,scrafty,scraggy,skiddo,slaking,slakoth,snubbull,swampert,talonflame,teddiursa,throh,toxicroak,tyrogue,ursaring,vigoroth"
close-combat,120,100,fighting,physical,"Inflicts regular damage, then lowers the user's Defense and Special Defense by one stage each.","absol,arcanine,blaziken,bouffalant,braviary,breloom,chesnaught,cobalion,combusken,conkeldurr,crawdaunt,croagunk,doublade,eelektross,emboar,escavalier,gallade,golurk,granbull,growlithe,gurdurr,hariyama,hawlucha,haxorus,heracross,hitmonchan,hitmonlee,hitmontop,honedge,infernape,krookodile,lopunny,lucario,machamp,machoke,machop,makuhita,mankey,medicham,meditite,mew,mienfoo,mienshao,monferno,pangoro,pignite,pinsir,poliwrath,primeape,riolu,rufflet,sawk,scizor,scrafty,scraggy,scyther,sharpedo,snubbull,staraptor,tauros,teddiursa,terrakion,toxicroak,tyrantrum,tyrunt,ursaring,virizion,xerneas,zangoose"
punishment,,100,dark,physical,"Inflicts regular damage.  Power starts at 60 and is increased by 20 for every stage any of the target's stats has been raised, capping at 200.  Accuracy and evasion modifiers do not increase this move's power.","absol,ho-oh,houndour,igglybuff,infernape,lugia,mandibuzz,mankey,mawile,miltank,murkrow,primeape,seviper,slaking,sneasel,stunky,vullaby,weavile,zoroark,zorua"
dual-chop,40,90,dragon,physical,Inflicts regular damage.  Hits twice in one turn.,"ambipom,axew,barbaracle,binacle,bisharp,blaziken,chesnaught,chespin,combusken,croagunk,electabuzz,electivire,elekid,fraxure,gabite,gallade,garchomp,hawlucha,haxorus,infernape,lucario,machamp,machoke,machop,magmar,magmortar,mankey,mew,mienfoo,mienshao,monferno,pancham,pangoro,pawniard,poliwrath,primeape,quilladin,riolu,sawk,sceptile,scrafty,scraggy,toxicroak"
power-trip,20,100,dark,physical,"Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user's stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move's power.  For a Pokémon with all five stats modified to +6, this move's power is 31×.","cacnea,cacturne,empoleon,krokorok,krookodile,mankey,pancham,piplup,prinplup,sandile,zangoose"
rage-fist,50,100,ghost,physical,,primeape
odor-sleuth,,,normal,status,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.,"arcanine,aromatisse,bidoof,buizel,bunnelby,deerling,diggersby,donphan,electrike,emboar,furfrou,girafarig,growlithe,grumpig,houndoom,houndour,lillipup,linoone,mamoswine,manectric,mareep,mightyena,munchlax,phanpy,pignite,piloswine,poochyena,spoink,spritzee,stoutland,swinub,swoobat,tepig,woobat,zigzagoon"
burn-up,130,100,fire,special,"Inflicts regular damage.  Removes the user's fire type after damage calculation.  If the user is not fire-type, this move will fail.","arcanine,cyndaquil,growlithe,ho-oh,moltres,quilava,tepig,typhlosion"
raging-fury,120,100,fire,physical,,"growlithe,infernape"
extreme-speed,80,100,normal,physical,Inflicts regular damage.,"arcanine,dragonite,dratini,entei,lucario,raikou,rayquaza,suicune,togekiss,zigzagoon"
iron-head,80,100,steel,physical,Inflicts regular damage.  Has a 30% chance to make the target flinch.,"aerodactyl,aggron,amaura,arcanine,aron,aurorus,avalugg,axew,bagon,bastiodon,beldum,bisharp,bouffalant,braviary,bronzong,bronzor,bunnelby,camerupt,carbink,carracosta,chesnaught,chespin,cobalion,cranidos,cubone,cyndaquil,diggersby,donphan,doublade,dragonair,dragonite,dratini,druddigon,durant,emboar,entei,escavalier,excadrill,ferroseed,forretress,fraxure,gabite,garchomp,genesect,gible,gigalith,glalie,golem,graveler,grotle,groudon,gyarados,hariyama,hawlucha,haxorus,hippowdon,ho-oh,honedge,jirachi,kingdra,kyogre,kyurem,lairon,lapras,larvitar,lugia,lunatone,magnemite,magneton,magnezone,mamoswine,mantine,marowak,mawile,metagross,metang,mew,milotic,miltank,pancham,pangoro,pawniard,phanpy,probopass,pupitar,quilava,quilladin,raikou,rampardos,rayquaza,regice,regirock,registeel,rhyperior,salamence,scizor,scrafty,scraggy,seviper,shelgon,shieldon,skarmory,snorlax,solrock,steelix,stoutland,suicune,tauros,terrakion,torterra,turtwig,typhlosion,tyranitar,tyrantrum,tyrunt,wailord"
mind-reader,,,normal,status,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.","articuno,breloom,budew,drowzee,froakie,hitmonlee,hypno,medicham,meditite,nincada,ninjask,poliwag,poliwrath,riolu,roselia,sewaddle,shedinja,shelmet,surskit,tyrogue"
ice-ball,30,90,ice,physical,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power.","avalugg,bergmite,delibird,glalie,mudkip,poliwag,sealeo,spheal"
circle-throw,60,90,fighting,physical,"Inflicts regular damage, then switches the target out for another of its trainer's Pokémon, selected at random.

If the target is under the effect of ingrain or suction cups, or it has a substitute, or its Trainer has no more usable Pokémon, it will not be switched out.  If the target is a wild Pokémon, the battle ends instead.","buneary,kangaskhan,pancham,pangoro,poliwrath,riolu,throh,whismur"
